"Part";"Value";"Device";"Package";"Description";"";
"C1";"20 pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C2";"20 pF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C3";"100 nF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C4";"100 uF";"CAP_POLPTH1";"CPOL-RADIAL-100UF-25V";"Capacitor Polarized";"";
"C5";"100 nF";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";
"C6";"100 uF";"CAP_POLPTH1";"CPOL-RADIAL-100UF-25V";"Capacitor Polarized";"";
"IC1";"AVR-MEGA8-AI";"AVR-MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";
"IC2";"7805";"78XXS";"78XXS";"VOLTAGE REGULATOR";"";
"J1";"ICSP";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";
"J2";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";
"JP1";"Fan connector";"M02LOCK";"1X02_LOCK";"Header 2";"";
"JP2";"LCD";"PINHD-2X6";"2X06";"PIN HEADER";"";
"JP3";"keypad";"M07";"1X07";"Header 7";"";
"JP4";"2x 27ohm in ||";"M02LOCK";"1X02_LOCK";"Header 2";"";
"JP5";"serial out";"M02LOCK";"1X02_LOCK";"Header 2";"";
"Q1";"TIP120TO220V";"TIP120TO220V";"TO220AV";"NPN DARLINGTON TRANSISTOR";"";
"Q2";"2N2222TO92";"2N2222TO92";"TO92-EBC";"NPN Transistor";"";
"R2";"10k";"RESISTORPTH-1/2W";"AXIAL-0.5";"Resistor";"";
"R3";"500ohm";"RESISTORPTH-1/2W";"AXIAL-0.5";"Resistor";"";
"R5";"1k";"RESISTORPTH-1/2W";"AXIAL-0.5";"Resistor";"";
"R7";"NTC2k";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
"R8";"1k";"RESISTORPTH-1/2W";"AXIAL-0.5";"Resistor";"";
"R9";"1k";"RESISTORPTH-1/2W";"AXIAL-0.5";"Resistor";"";
"R10";"NTC2k";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
"R11";"50k";"RESISTORPTH-1/2W";"AXIAL-0.5";"Resistor";"";
"R12";"100k";"RESISTORPTH-1/2W";"AXIAL-0.5";"Resistor";"";
"R13";"TRIMPOT-PTH-KNOB";"TRIMPOT-PTH-KNOB";"3386U";"";"";
"Y1";"16 MHz";"CRYSTALHC49US";"HC49US";"Crystals";"";
